Target-ID	Compound-ID	Std-value
CHEMBL5122	CHEMBL255863	5.2
CHEMBL2363049	CHEMBL3786962	13.0
CHEMBL4501	CHEMBL3916864	1.8
CHEMBL1974	CHEMBL3329683	4.4
CHEMBL3920	CHEMBL3355112	23.0
CHEMBL2147	CHEMBL3651958	1.0
CHEMBL1974	CHEMBL3684982	3.2
CHEMBL1974	CHEMBL3954298	5.0
CHEMBL2147	CHEMBL3687454	3.38
CHEMBL2971	CHEMBL1938659	2.0
CHEMBL203	CHEMBL3297892	30.0
CHEMBL2147	CHEMBL3944136	0.508
CHEMBL2185	CHEMBL2022371	13.0
CHEMBL4439	CHEMBL3260598	17.0
CHEMBL5331	CHEMBL3092781	14.0
CHEMBL4501	CHEMBL3675425	1.4
CHEMBL2147	CHEMBL3915285	5.2
CHEMBL2185	CHEMBL2443139	10.0
CHEMBL4142	CHEMBL3930819	10.72
CHEMBL3038477	CHEMBL3914812	10.0
CHEMBL4722	CHEMBL3692211	0.9
CHEMBL1913	CHEMBL2023118	0.7
CHEMBL1868	CHEMBL440727	30.0
CHEMBL2007	CHEMBL204225	9.0
CHEMBL3650	CHEMBL190162	29.0
CHEMBL1862	CHEMBL565366	3.6
CHEMBL2971	CHEMBL3642297	3.1
CHEMBL1974	CHEMBL410663	28.0
CHEMBL4722	CHEMBL3680491	0.53
CHEMBL5407	CHEMBL3982237	18.38
CHEMBL2431	CHEMBL3701718	0.5
CHEMBL4282	CHEMBL594755	6.0
CHEMBL3717	CHEMBL3287601	21.7
CHEMBL4523	CHEMBL3933159	2.18
CHEMBL3717	CHEMBL4109336	4.8
CHEMBL1844	CHEMBL451575	0.5
CHEMBL5408	CHEMBL2011942	4.0
CHEMBL3650	CHEMBL3932756	3.715
CHEMBL4523	CHEMBL3942827	1.3
CHEMBL4070	CHEMBL3699286	0.52
CHEMBL203	CHEMBL3764589	2.92
CHEMBL279	CHEMBL1172421	7.9
CHEMBL203	CHEMBL257430	8.0
CHEMBL2147	CHEMBL3676273	4.0
CHEMBL3650	CHEMBL3983694	8.913
